first_name,second_name,id,web_name,now_cost,cost_change_start,element_type,selected_by_percent,team,team_code,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps
Albian,Ajeti,514,Ajeti,58,-2,4,0.0,19,21,5,101,0,0,0,3,0,0,0,0,8
David,Martin,553,Martin,40,0,1,1.9,19,21,13,270,0,0,1,5,0,0,11,2,58
Nathan,Holland,568,Holland,45,0,3,0.0,19,21,2,31,0,0,0,1,0,0,0,0,10
Matt,Doherty,401,Doherty,60,0,2,3.9,20,39,59,1067,2,2,3,12,0,0,0,5,196
Jonathan,Castro Otto,402,Jonny,54,-1,2,1.1,20,39,45,1269,1,1,3,16,2,0,0,0,212
Conor,Coady,403,Coady,50,0,2,1.5,20,39,44,1440,0,0,4,19,2,0,0,2,252
Ryan,Bennett,404,Bennett,49,-1,2,0.3,20,39,18,459,0,0,2,6,2,0,0,0,90
Willy,Boly,405,Boly,48,-2,2,2.4,20,39,34,720,0,1,3,7,0,1,0,7,170
Rúben Gonçalo,Silva Nascimento Vinagre,406,Vinagre,42,-3,2,0.2,20,39,10,190,0,0,1,3,1,0,0,0,46
Romain,Saïss,407,Saïss,44,-1,2,0.4,20,39,27,871,1,1,2,14,5,1,0,1,150
Max,Kilman,408,Kilman,40,0,2,2.3,20,39,2,90,0,0,0,1,0,0,0,0,9
Raúl,Jiménez,409,Jiménez,75,0,4,17.5,20,39,80,1379,6,4,5,17,2,0,0,14,290
Diogo,Jota,410,Jota,61,-4,4,3.3,20,39,44,1046,3,1,3,15,3,0,0,6,133
Rui Pedro,dos Santos Patrício,411,Patrício,52,2,1,11.4,20,39,62,1440,0,0,4,19,0,0,41,4,271
John,Ruddy,412,Ruddy,44,-1,1,0.4,20,39,0,0,0,0,0,0,0,0,0,0,0
Will,Norris,413,Norris,40,0,1,0.6,20,39,0,0,0,0,0,0,0,0,0,0,0
Rúben Diogo,da Silva Neves,414,Neves,53,-2,3,5.2,20,39,43,1229,2,0,4,16,4,0,0,4,189
João Filipe Iria,Santos Moutinho,415,Moutinho,54,-1,3,5.6,20,39,58,1349,1,4,4,17,2,0,0,9,279
Morgan,Gibbs-White,416,Gibbs-White,47,-3,3,0.1,20,39,7,119,0,1,0,2,0,0,0,0,28
Adama,Traoré,417,Traoré,52,2,3,4.5,20,39,55,1188,2,3,3,16,0,0,0,6,231
